category,old_stem,new_stem,registry_id,plot_type,data_source
Trade,Lower Saxony Export by Country in 2025,Lower Saxony Export by Country,trade_export_lowersaxony_country,choropleth,GENESIS 51000-0032
Trade,Lower Saxony Import by Country,Lower Saxony Import by Country,trade_import_lowersaxony_country,choropleth,GENESIS 51000-0032
Trade,Germanys Exports by Country,Germany Export by Country,trade_export_germany_country,choropleth,GENESIS 51000-0003
Trade,Germanys Imports by Country,Germany Import by Country,trade_import_germany_country,choropleth,GENESIS 51000-0003
Trade,HH Export - Deviations from German Average by Group,HH vs GER Export Structure Deviation by Group,trade_hh_export_deviation_group,bar_horizontal,GENESIS 51000-0034/0005
Trade,HH Import - Deviations from German Average by Group,HH vs GER Import Structure Deviation by Group,trade_hh_import_deviation_group,bar_horizontal,GENESIS 51000-0034/0005
Trade,Lower Saxony Export - Deviations from German Average by Group,LS vs GER Export Structure Deviation by Group,trade_ls_export_deviation_group,bar_horizontal,GENESIS 51000-0034/0005
Trade,Lower Saxony Import - Deviations from German Average by Group,LS vs GER Import Structure Deviation by Group,trade_ls_import_deviation_group,bar_horizontal,GENESIS 51000-0034/0005
Trade,Hamburg vs Germany Export Share Comparison topbottom 10 Country in 2025,Hamburg Top Export Partners,trade_hh_export_topbottom_country,bar_horizontal,GENESIS 51000-0032
Trade,Hamburg vs Germany Import Share Comparison topbottom 10 Country in 2025,Hamburg Top Import Partners,trade_hh_import_topbottom_country,bar_horizontal,GENESIS 51000-0032
Trade,Lower Saxony vs Germany Export Share Comparison topbottom 10 Country in 2025,Lower Saxony Top Export Partners,trade_ls_export_topbottom_country,bar_horizontal,GENESIS 51000-0032
Trade,Lower Saxony vs Germany Import Share Comparison topbottom 10 Country in 2025,Lower Saxony Top Import Partners,trade_ls_import_topbottom_country,bar_horizontal,GENESIS 51000-0032
Trade,HH Export - Deviations from German Average,HH Export - Deviations from German Average,trade_hh_export_deviation_country_map,bar_horizontal,GENESIS 51000-0034/0005
Trade,HH Import - Deviations from German Average,HH Import - Deviations from German Average,trade_hh_import_deviation_country_map,bar_horizontal,GENESIS 51000-0034/0005
Trade,HH Export - Deviations from German Average by Country,HH Export - Deviations from German Average by Country,trade_hh_export_deviation_country,bar_horizontal,GENESIS 51000-0032/0003
Trade,HH Import - Deviations from German Average by Country,HH Import - Deviations from German Average by Country,trade_hh_import_deviation_country,bar_horizontal,GENESIS 51000-0032/0003
Trade,Hamburg vs Germany Export Share Comparison by Country in 2025,Hamburg vs Germany Export Share Comparison by Country in 2025,trade_hh_export_comparison_country_2025,choropleth,GENESIS 51000-0032/0003
Trade,Hamburg vs Germany Import Share Comparison by Country in 2025,Hamburg vs Germany Import Share Comparison by Country in 2025,trade_hh_import_comparison_country_2025,choropleth,GENESIS 51000-0032/0003
Trade,Lower Saxony Export - Deviations from German Average by Country,LS Export - Deviations from German Average by Country,trade_ls_export_deviation_country,bar_horizontal,GENESIS 51000-0032/0003
Trade,Lower Saxony Import - Deviations from German Average by Country,LS Import - Deviations from German Average by Country,trade_ls_import_deviation_country,bar_horizontal,GENESIS 51000-0032/0003
Trade,Lower Saxony vs Germany Export Share Comparison by Country in 2025,Lower Saxony vs Germany Export Share Comparison by Country in 2025,trade_ls_export_comparison_country_2025,choropleth,GENESIS 51000-0032/0003
Trade,Lower Saxony vs Germany Import Share Comparison by Country in 2025,Lower Saxony vs Germany Import Share Comparison by Country in 2025,trade_ls_import_comparison_country_2025,choropleth,GENESIS 51000-0032/0003
Trade,Lower Saxony Export - Development,Export Lower Saxony,trade_export_lowersaxony,multi_line,GENESIS 51000-0030/0034
Trade,Lower Saxony Import - Development,Import Lower Saxony,trade_import_lowersaxony,multi_line,GENESIS 51000-0030/0034
